point_id,edge_id,sample_index,latitude,longitude,current_shade,last_1h_fraction,last_2h_fraction,last_4h_fraction,since_dawn_fraction,timestamp
urban_ew_001_18,urban_ew_001,18,42.36,-71.05738303248857,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
urban_ew_001_19,urban_ew_001,19,42.36,-71.05729320096016,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
urban_ew_001_20,urban_ew_001,20,42.36,-71.05720336943175,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
urban_ew_001_21,urban_ew_001,21,42.36,-71.05711353790333,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
urban_ew_001_22,urban_ew_001,22,42.36,-71.05702370637493,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
urban_ew_001_23,urban_ew_001,23,42.36,-71.05693387484652,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
urban_ew_001_24,urban_ew_001,24,42.36,-71.05684404331811,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
urban_ew_001_25,urban_ew_001,25,42.36,-71.05675421178968,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
urban_ew_001_26,urban_ew_001,26,42.36,-71.05666438026128,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
urban_ew_001_27,urban_ew_001,27,42.36,-71.05657454873287,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
urban_ew_001_28,urban_ew_001,28,42.36,-71.05648471720446,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
urban_ew_001_29,urban_ew_001,29,42.36,-71.05639488567604,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
urban_ew_001_30,urban_ew_001,30,42.36,-71.05630505414763,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
urban_ew_001_31,urban_ew_001,31,42.36,-71.05621522261922,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
urban_ew_001_32,urban_ew_001,32,42.36,-71.0561253910908,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
urban_ew_001_33,urban_ew_001,33,42.36,-71.05603555956239,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
urban_ew_001_34,urban_ew_001,34,42.36,-71.05594572803399,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
urban_ew_001_35,urban_ew_001,35,42.36,-71.05585589650558,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
urban_ew_001_36,urban_ew_001,36,42.36,-71.05576606497716,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
urban_ew_001_37,urban_ew_001,37,42.36,-71.05567623344875,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
urban_ew_001_38,urban_ew_001,38,42.36,-71.05558640192034,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
urban_ew_001_39,urban_ew_001,39,42.36,-71.05549657039192,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
urban_ew_001_40,urban_ew_001,40,42.36,-71.05540673886351,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
urban_ew_001_41,urban_ew_001,41,42.36,-71.0553169073351,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
urban_ew_001_42,urban_ew_001,42,42.36,-71.05522707580668,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
urban_ew_001_43,urban_ew_001,43,42.36,-71.05513724427828,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
urban_ew_001_44,urban_ew_001,44,42.36,-71.05504741274986,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
urban_ew_001_45,urban_ew_001,45,42.36,-71.055,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
residential_curve_001_0,residential_curve_001,0,42.358,-71.058,False,0.0,0.0,0.0,0.0,2024-06-15T12:00:00
