point_id,edge_id,sample_index,latitude,longitude,current_shade,last_1h_fraction,last_2h_fraction,last_4h_fraction,since_dawn_fraction,timestamp,scenario,test_time,season
main_ns_001_45,main_ns_001,45,42.26914020498237,-71.07363349999999,False,0.0,0.0,0.0,0.26666666666666666,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ns_001_46,main_ns_001,46,42.2692399170209,-71.07363349999999,False,0.0,0.0,0.0,0.13333333333333333,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ns_001_47,main_ns_001,47,42.2693396289017,-71.07363349999999,False,0.0,0.0,0.2222222222222222,0.5333333333333333,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ns_001_48,main_ns_001,48,42.269439340624764,-71.07363349999999,False,0.0,0.0,0.0,0.26666666666666666,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ns_001_49,main_ns_001,49,42.26953905219011,-71.07363349999999,False,0.0,0.0,0.0,0.2,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ns_001_50,main_ns_001,50,42.26963876359772,-71.07363349999999,False,0.0,0.0,0.0,0.13333333333333333,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ns_001_51,main_ns_001,51,42.2697384748476,-71.07363349999999,True,1.0,1.0,1.0,0.9333333333333333,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ns_001_52,main_ns_001,52,42.269838185939754,-71.07363349999999,False,0.0,0.0,0.0,0.0,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ns_001_53,main_ns_001,53,42.26993789687418,-71.07363349999999,False,0.0,0.0,0.0,0.3333333333333333,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ns_001_54,main_ns_001,54,42.27003760765087,-71.07363349999999,False,0.0,0.0,0.3333333333333333,0.4,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ns_001_55,main_ns_001,55,42.270137318269846,-71.07363349999999,False,0.0,0.0,0.0,0.26666666666666666,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ns_001_56,main_ns_001,56,42.270237028731074,-71.07363349999999,False,0.0,0.0,0.1111111111111111,0.4666666666666667,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
